Location,Area_sqft,Road_Width_ft,Near_Highway,Distance_from_citycenter_km,Price_per_sqft
Madurai,1618.62,21.0,No,5.66,2249.89
Coimbatore,951.78,21.7,No,5.61,3988.97
Chennai,1085.95,19.3,Yes,5.98,4572.03
Vellore,1608.77,38.8,No,5.46,1933.21
Vellore,1661.99,30.3,Yes,2.81,2306.05
Coimbatore,1999.34,29.6,Yes,1.63,4455.47
Salem,1162.04,19.7,No,3.73,2432.17
Chennai,1981.02,37.7,No,5.45,4506.54
Madurai,1276.81,12.4,No,0.95,3090.13
Chennai,1943.45,18.7,Yes,5.7,4787.28
Coimbatore,1050.73,39.7,Yes,4.52,4438.17
Salem,1320.51,17.0,No,1.95,2560.76
Coimbatore,813.06,21.9,No,1.95,4332.36
Coimbatore,1369.41,35.8,No,3.15,4125.66
Coimbatore,910.52,33.6,No,1.02,4246.18
Salem,1556.79,34.0,No,4.62,2289.96
Chennai,1263.4,29.7,Yes,4.44,4823.47
Coimbatore,886.36,35.7,Yes,5.74,4233.24
Trichy,1534.03,20.5,Yes,5.14,2775.92
Chennai,1869.78,23.5,Yes,3.83,4926.41
Madurai,1773.74,39.4,Yes,3.14,2729.49
Salem,1011.07,12.5,Yes,2.98,2668.16
Coimbatore,1130.31,29.4,Yes,3.15,4224.33
Madurai,945.09,36.8,Yes,5.99,2473.22
Coimbatore,938.64,39.3,Yes,0.51,4517.51
Trichy,958.31,32.7,No,1.23,3065.67
Salem,1125.43,19.3,Yes,2.23,2741.58
Trichy,1434.61,33.5,No,3.02,2801.8
Madurai,1791.27,32.5,Yes,4.55,2545.3
Vellore,922.96,28.9,No,4.64,2012.42
Vellore,837.18,30.1,No,3.88,2099.54
Trichy,1411.64,38.0,No,5.63,2501.22
Chennai,1280.04,36.2,No,1.69,4769.95
Chennai,1795.3,26.6,No,4.39,4605.75
Chennai,1296.49,36.7,No,4.28,4768.88
Trichy,1453.9,30.0,No,3.11,2891.47
Chennai,1956.1,19.6,Yes,2.17,5161.32
Vellore,1377.81,36.1,No,5.07,1899.66
Trichy,1218.98,39.5,No,1.29,2890.08
Salem,1827.8,18.2,Yes,5.99,2594.03
Vellore,1855.73,24.3,No,5.32,2090.03
Madurai,1795.69,13.3,No,1.62,2660.29
Chennai,905.88,29.5,No,0.51,5110.4
Coimbatore,1341.56,20.4,No,3.9,4006.85
Chennai,1620.67,27.0,Yes,1.23,5115.82
Madurai,1896.56,15.5,Yes,3.71,2900.05
Trichy,891.38,38.6,No,3.82,2883.81
Vellore,1849.31,15.4,Yes,5.63,1995.0
Chennai,1480.68,15.8,Yes,1.9,5075.59
Madurai,1934.3,33.4,No,2.88,2852.38
Coimbatore,1823.42,33.6,No,3.54,4013.6
Trichy,1767.62,16.1,No,5.37,2671.36
Salem,1975.87,37.0,No,2.59,2458.64
Chennai,1088.22,27.1,No,4.67,4368.63
Trichy,1445.07,38.3,No,5.35,2807.57
Trichy,1183.03,24.2,No,3.54,3012.49
Salem,1392.46,24.1,No,1.73,2446.83
Salem,1150.12,28.2,Yes,4.66,2402.7
Chennai,1692.91,27.8,Yes,2.65,4883.32
Vellore,1605.46,26.0,Yes,2.21,2484.35
Madurai,1843.48,34.1,No,1.87,2832.21
Chennai,1172.46,22.6,No,4.27,4430.58
Chennai,916.96,33.7,Yes,4.86,4646.48
Salem,1707.66,13.2,Yes,5.81,2368.64
Madurai,1291.14,23.0,Yes,3.25,3042.42
Chennai,1233.88,26.1,Yes,3.44,5030.09
Salem,1313.47,14.7,Yes,0.77,2896.31
Coimbatore,1209.16,34.3,Yes,0.82,4616.2
Salem,1162.24,24.6,Yes,3.68,2772.13
Madurai,1270.07,20.9,Yes,1.72,3073.29
Trichy,1520.69,29.7,Yes,1.81,3416.92
Coimbatore,830.59,15.5,Yes,2.14,4679.49
Vellore,880.95,22.1,Yes,5.05,2262.71
Vellore,1830.6,38.9,Yes,4.17,2212.43
Madurai,1208.28,14.7,No,2.08,2887.15
Coimbatore,1191.24,20.4,No,1.66,4212.3
Salem,1949.07,33.0,Yes,2.91,2899.21
Salem,1486.33,27.7,No,5.9,2138.34
Vellore,1304.06,12.3,Yes,2.94,2309.36
Salem,1258.72,33.2,Yes,5.03,2499.45
Vellore,1899.27,31.5,Yes,5.27,2016.14
Chennai,998.18,24.2,Yes,3.99,4885.57
Madurai,1187.92,20.5,Yes,2.77,2968.65
Madurai,1511.73,15.1,Yes,4.79,2735.12
Coimbatore,941.48,25.1,No,1.78,4181.79
Trichy,1066.68,28.0,No,4.58,2712.52
Madurai,840.24,12.1,Yes,5.87,2758.61
Salem,855.07,18.2,No,5.62,2178.19
Trichy,1853.67,37.0,No,1.71,3204.5
Madurai,951.74,31.8,Yes,4.54,2750.24
Trichy,1805.36,20.8,No,0.62,3200.63
Coimbatore,1280.94,25.5,No,5.0,4064.32
Vellore,1692.79,18.9,Yes,4.72,2241.87
Coimbatore,1716.99,23.8,Yes,3.41,4432.12
Vellore,985.29,24.2,Yes,3.11,2511.69
Coimbatore,1444.55,28.0,No,4.44,4243.0
Salem,862.56,27.8,No,1.33,2865.77
Vellore,1440.57,22.5,No,5.29,2003.78
Salem,1797.05,25.8,Yes,2.29,2901.87
Madurai,881.75,24.5,Yes,1.49,2957.75
Vellore,1909.27,33.8,No,3.85,2210.46
Chennai,1270.9,30.0,No,3.53,4767.87
Coimbatore,1207.48,31.6,No,3.48,4113.73
Trichy,1534.88,31.9,No,3.69,2727.13
Coimbatore,838.78,28.6,Yes,1.9,4695.52
Chennai,1341.32,23.6,No,5.06,4550.97
Salem,949.89,22.2,No,3.48,2477.26
Trichy,1865.27,35.4,No,5.94,2420.66
Coimbatore,862.29,25.4,No,4.52,4152.69
Madurai,1424.07,28.1,No,5.01,2499.02
Coimbatore,1740.17,28.1,Yes,1.21,4510.09
Coimbatore,1892.55,35.4,Yes,4.77,4162.18
Madurai,1859.38,14.3,No,5.06,2413.18
Coimbatore,1257.99,15.8,Yes,5.39,4141.05
Coimbatore,1360.85,31.7,No,1.17,4362.29
Salem,852.53,21.4,No,1.72,2659.02
Madurai,1801.11,23.4,Yes,3.32,3000.93
Trichy,935.12,39.5,Yes,2.01,3190.22
Vellore,1915.9,26.4,No,3.84,2271.05
Chennai,1376.63,31.0,Yes,4.46,4823.58
Salem,1979.02,17.5,Yes,2.43,2643.15
Trichy,1208.66,29.9,Yes,1.74,3195.36
Trichy,1520.18,13.8,No,1.4,2941.61
Vellore,1701.43,21.6,Yes,1.85,2636.81
Coimbatore,1567.29,22.2,No,2.78,4297.03
Salem,1106.19,14.3,Yes,2.72,2772.93
Trichy,1025.99,35.2,No,5.83,2554.26
Coimbatore,1107.57,20.0,No,4.56,3928.65
Madurai,1520.47,22.1,No,1.16,2722.46
Madurai,1934.61,18.6,No,5.15,2341.12
Madurai,1039.07,36.7,No,1.33,2771.89
Madurai,1998.19,21.6,No,4.22,2413.5
Madurai,1675.43,35.9,No,3.97,2519.55
Madurai,833.92,38.2,No,0.83,2720.1
Salem,1460.91,28.9,No,4.91,2257.3
Madurai,1249.34,31.1,Yes,3.31,3058.21
Madurai,1075.58,39.1,Yes,4.0,2617.38
Madurai,1400.18,22.4,Yes,5.85,2708.72
Coimbatore,1749.21,35.7,No,3.54,4068.21
Coimbatore,1336.31,24.7,Yes,3.25,4425.61
Madurai,906.75,21.8,No,3.43,2663.32
Vellore,1301.18,32.8,Yes,4.58,2198.63
Coimbatore,1050.43,13.7,Yes,4.14,4196.27
Salem,987.27,35.3,Yes,5.7,2409.6
Salem,1689.24,20.2,No,3.14,2578.98
Madurai,1350.2,38.3,No,3.39,2601.75
Trichy,1533.88,39.0,Yes,1.42,3252.08
Chennai,804.69,18.7,No,5.28,4383.27
Trichy,1402.61,30.0,No,3.61,2709.42
Vellore,1675.5,35.1,Yes,3.42,2240.25
Coimbatore,1368.19,30.2,Yes,5.41,4023.15
Coimbatore,1325.39,31.8,Yes,4.75,4300.51
Trichy,827.7,28.3,No,0.74,3308.94
Vellore,965.64,26.0,No,4.4,1931.85
Vellore,1422.68,21.9,Yes,2.1,2338.21
Chennai,1639.3,20.5,No,4.99,4420.73
Chennai,1021.88,30.5,Yes,3.97,4647.03
Chennai,1866.31,32.0,No,5.09,4439.99
Vellore,1457.83,32.1,Yes,0.83,2785.48
Chennai,989.07,26.8,Yes,1.27,5177.68
Madurai,1278.94,33.0,No,4.68,2398.51
Coimbatore,1546.75,30.4,Yes,3.1,4461.55
Trichy,928.81,37.4,No,2.43,2892.39
Chennai,1886.06,15.6,No,1.0,5044.02
Trichy,948.06,13.2,Yes,0.89,3138.45
Trichy,1838.66,35.8,Yes,2.17,3182.29
Salem,1302.89,16.6,No,1.62,2794.15
Chennai,1499.69,35.9,No,2.85,4720.49
Salem,1774.96,15.4,Yes,4.46,2471.12
Madurai,870.45,14.1,Yes,5.86,2544.92
Coimbatore,1752.87,21.0,No,4.51,4014.11
Trichy,1996.33,33.6,No,5.46,2648.06
Vellore,1066.53,20.4,No,5.98,1723.12
Salem,1753.13,24.5,Yes,4.61,2729.4
Vellore,1403.27,18.4,No,2.66,2218.48
Coimbatore,1544.64,38.6,Yes,2.88,4551.9
Salem,1195.48,27.0,No,2.2,2448.94
Trichy,1479.27,29.1,Yes,2.07,3304.04
Chennai,1761.13,32.3,No,4.25,4524.86
Coimbatore,1270.33,19.2,No,4.65,4061.22
Trichy,1704.41,27.1,Yes,3.82,3003.31
Coimbatore,1168.09,19.1,No,1.39,4470.12
Coimbatore,1479.27,34.3,No,4.14,4189.26
Trichy,1604.02,16.8,No,3.1,2802.74
Coimbatore,1713.02,18.2,No,3.23,4255.91
Chennai,956.61,12.8,Yes,5.3,4855.86
Salem,1087.49,22.0,Yes,4.43,2418.82
Trichy,1958.17,37.1,Yes,0.69,3314.83
Trichy,1124.96,28.8,No,4.6,2835.73
Trichy,1810.86,16.1,Yes,1.58,3132.14
Trichy,1225.39,26.8,No,1.0,3261.05
Vellore,1368.88,19.1,No,1.09,2483.66
Salem,1807.91,15.4,Yes,1.14,2846.09
Coimbatore,1393.6,26.6,No,2.32,4090.71
Vellore,1345.68,18.4,No,2.29,2283.67
Salem,825.49,25.7,Yes,4.97,2427.59
Madurai,1616.3,14.4,Yes,3.18,2707.1
Chennai,1406.54,17.6,Yes,1.13,5105.15
Madurai,1188.63,28.6,Yes,5.68,2753.98
Coimbatore,1040.71,15.5,No,2.6,4166.99
Vellore,965.38,38.1,Yes,4.0,2483.65
Trichy,1125.15,17.9,Yes,5.4,2820.18
Madurai,1464.92,17.9,No,5.95,2224.99
Vellore,1106.87,28.1,Yes,0.86,2667.39
Trichy,1227.35,35.4,Yes,5.3,2820.86
Trichy,1019.28,36.6,Yes,5.93,2868.5
Madurai,1410.27,22.1,No,4.41,2407.57
Madurai,1500.23,13.3,Yes,3.67,2747.24
Salem,1164.64,27.3,Yes,2.1,2801.47
Trichy,1772.91,12.5,No,5.97,2639.87
Coimbatore,1000.83,38.1,No,2.73,4054.94
Chennai,1621.65,19.1,No,2.21,4714.59
Madurai,890.94,13.9,Yes,3.46,2808.96
Vellore,1031.15,26.0,Yes,2.53,2393.5
Vellore,1393.66,20.0,Yes,5.34,2052.3
Coimbatore,1204.54,30.1,Yes,4.17,4402.05
Coimbatore,828.09,27.7,No,5.84,3747.91
Salem,801.33,36.2,Yes,2.02,2859.78
Vellore,1159.44,12.9,Yes,3.95,2132.39
Trichy,1708.33,13.4,No,5.95,2789.5
Trichy,1172.44,22.2,No,4.03,2974.54
Coimbatore,1329.59,37.7,Yes,3.69,4508.59
Vellore,1859.5,20.8,No,4.0,1933.33
Trichy,953.17,21.5,No,4.73,2791.06
Madurai,1703.36,33.4,Yes,4.19,2688.9
Chennai,808.48,16.8,Yes,4.69,4685.9
Coimbatore,1133.58,12.5,No,0.65,4307.45
Chennai,1905.89,30.4,No,4.36,4586.97
Vellore,1938.52,18.6,No,4.57,2096.67
Vellore,1858.45,22.1,No,1.37,2212.43
Madurai,1021.15,33.0,Yes,1.64,3092.65
Chennai,1193.32,22.3,No,2.7,4571.86
Trichy,1580.55,16.4,No,1.98,3174.26
Madurai,1824.81,29.6,Yes,3.87,3012.88
Coimbatore,1064.19,30.0,No,4.6,4076.91
Salem,1720.35,17.2,Yes,5.89,2570.32
Vellore,1557.68,25.0,No,3.66,2218.24
Trichy,1991.3,22.6,No,3.87,2643.17
Salem,901.78,19.2,No,4.34,2505.34
Coimbatore,1846.95,18.6,Yes,4.2,4408.89
Vellore,1356.8,26.9,Yes,3.42,2223.94
Madurai,954.11,23.0,No,5.84,2550.96
Trichy,1772.41,15.9,Yes,4.16,3072.71
Chennai,808.13,35.2,Yes,0.57,5150.8
Vellore,1596.79,15.0,No,0.81,2549.7
Coimbatore,896.31,14.6,No,5.23,4119.95
Vellore,1949.31,15.2,Yes,4.07,2411.61
Coimbatore,1104.17,13.1,Yes,5.74,4198.97
Madurai,1248.76,30.3,Yes,4.64,2759.65
Coimbatore,1743.24,12.9,Yes,3.31,4257.56
Salem,1310.87,20.7,Yes,4.56,2578.61
Salem,1507.42,29.4,Yes,2.75,2907.06
Trichy,1127.94,22.0,No,0.64,2951.0
Madurai,1506.38,37.2,No,3.75,2706.07
Salem,1998.39,28.1,Yes,2.5,2734.39
Chennai,911.51,27.3,Yes,0.89,5066.06
Coimbatore,813.73,12.7,Yes,4.8,4195.19
Salem,1210.29,31.2,Yes,2.49,2625.48
Trichy,1254.57,24.5,Yes,1.16,3428.66
Vellore,1262.45,34.6,No,4.39,1933.55
Trichy,1768.79,19.0,No,1.99,3075.58
Coimbatore,1135.62,30.1,Yes,3.09,4502.56
Vellore,1583.45,17.4,Yes,4.37,2449.43
Madurai,1728.24,34.5,Yes,0.9,2951.61
Trichy,1813.61,39.4,Yes,5.69,2634.31
Coimbatore,1217.56,18.1,Yes,2.36,4395.25
Coimbatore,1194.8,14.5,No,3.44,4346.86
Trichy,1824.96,39.6,Yes,3.26,3116.64
Coimbatore,1029.76,38.1,No,5.03,3846.84
Trichy,847.22,33.6,Yes,5.56,2947.24
Vellore,926.9,37.3,Yes,3.92,2363.55
Salem,1395.86,37.4,Yes,2.26,2804.36
Coimbatore,1465.29,35.0,Yes,4.7,4214.77
Vellore,1489.1,35.6,No,3.35,2346.64
Madurai,1218.35,32.5,No,3.09,2663.48
Chennai,1053.26,36.4,Yes,4.59,4863.21
Chennai,1618.52,18.1,Yes,5.91,4409.59
Vellore,971.23,23.0,No,5.35,1983.38
Madurai,1812.92,36.8,Yes,5.07,2547.83
Coimbatore,847.86,30.4,No,5.01,4109.75
Salem,1320.71,16.3,No,2.66,2590.88
Salem,1795.53,28.9,No,3.25,2461.16
Chennai,1660.98,39.9,Yes,2.27,5095.14
Madurai,1040.08,35.8,Yes,4.64,2730.58
Chennai,1127.43,25.7,No,3.18,4863.31
Madurai,1538.57,12.9,No,5.66,2625.39
Madurai,1575.72,16.9,No,0.84,2886.48
Coimbatore,862.28,27.9,Yes,3.01,4570.22
Vellore,811.07,38.2,Yes,1.08,2517.2
Vellore,1840.86,27.7,No,1.35,2215.45
Trichy,1501.22,25.7,No,1.52,3010.95
Salem,1830.41,33.2,Yes,0.82,2719.36
Chennai,1458.41,18.4,Yes,2.44,4895.05
Madurai,1732.55,36.2,Yes,2.76,2928.98
Chennai,1784.96,24.2,No,2.29,4774.24
Coimbatore,1788.57,21.1,No,3.29,4303.41
Salem,1238.09,17.0,No,5.19,2092.66
Trichy,1993.15,33.0,Yes,2.9,3055.36
Madurai,1147.36,29.3,No,3.49,2537.79
Trichy,1188.04,29.0,Yes,2.59,3098.83
Vellore,1396.4,15.0,Yes,4.79,2384.61
Chennai,1516.77,21.3,Yes,3.77,4868.09
Chennai,1523.25,35.9,Yes,2.59,5021.97
Vellore,1323.37,19.7,No,4.16,1926.27
Chennai,1697.79,27.6,No,1.56,4915.48
Trichy,1457.32,21.5,No,2.29,3076.19
Salem,1590.95,31.1,Yes,3.56,2649.46
Madurai,1237.01,24.6,No,4.14,2731.35
Vellore,975.76,24.7,Yes,1.49,2421.54
Vellore,1973.42,30.7,No,3.8,1954.26
Trichy,1253.51,28.9,Yes,2.66,3183.89
Coimbatore,1369.82,26.1,No,3.45,4192.17
Vellore,1028.78,31.4,No,2.96,2116.58
Trichy,1004.85,31.9,Yes,4.4,3058.95
Salem,1628.34,19.0,Yes,2.54,2664.25
Madurai,1748.51,27.4,Yes,2.08,2839.25
Madurai,822.85,14.4,No,1.14,3024.54
Chennai,1333.33,24.7,Yes,1.69,4975.21
Madurai,1650.72,21.7,No,1.12,2940.38
Salem,1245.67,25.0,No,5.87,2412.32
Coimbatore,1578.47,24.1,Yes,4.43,4274.38
Salem,1631.38,25.6,No,4.8,2322.0
Vellore,821.38,35.1,Yes,0.78,2781.84
Trichy,1168.85,36.9,No,1.42,3163.63
Madurai,1041.6,29.9,Yes,1.63,3038.02
Chennai,1547.45,27.4,Yes,4.27,4632.62
Coimbatore,1424.13,16.1,Yes,5.28,4130.11
Madurai,838.38,31.2,No,2.84,2789.38
Coimbatore,1026.0,36.3,No,2.44,4086.25
Vellore,905.33,32.9,No,3.22,2345.52
Trichy,1932.75,22.4,No,3.9,2797.88
Trichy,1037.37,25.6,Yes,5.47,2830.66
Salem,1515.43,26.8,No,3.17,2295.82
Trichy,1520.25,23.4,No,1.86,3040.91
Madurai,1957.26,27.3,Yes,4.6,2693.18
Chennai,1697.92,17.2,Yes,3.06,5008.23
Chennai,1791.19,20.0,Yes,0.98,5040.4
Vellore,1997.0,14.5,Yes,5.3,2051.27
Chennai,1828.57,20.2,Yes,2.91,4963.36
Coimbatore,1031.81,19.1,No,4.2,4038.88
Chennai,1698.01,28.0,Yes,4.98,4562.5
Chennai,1492.91,12.1,No,4.18,4762.63
Trichy,1106.65,33.6,No,3.28,2860.47
Chennai,1758.86,23.6,Yes,4.66,4748.29
Madurai,1560.22,32.6,No,2.47,2589.41
Madurai,1596.04,38.2,No,1.99,2718.28
Chennai,1288.2,27.0,Yes,0.91,5140.99
Vellore,1037.74,14.8,No,2.72,2396.43
Trichy,1325.25,18.5,Yes,3.04,3023.39
Chennai,1703.16,19.3,Yes,2.57,4821.84
Salem,1630.55,20.1,No,4.97,2225.99
Vellore,1446.68,17.5,Yes,1.94,2625.61
Madurai,1493.72,13.4,No,2.32,2702.78
Coimbatore,1544.53,21.3,Yes,5.17,4302.02
Coimbatore,1475.47,37.6,No,3.51,4317.76
Chennai,1024.57,26.3,No,5.17,4531.97
Chennai,1734.21,38.3,No,1.47,4747.22
Madurai,1068.07,18.2,Yes,0.54,2976.18
Madurai,1924.75,23.6,Yes,1.48,2875.32
Salem,1973.73,25.9,Yes,3.23,2477.5
Madurai,1396.2,17.1,Yes,5.84,2620.93
Coimbatore,1791.19,36.9,No,2.93,4167.17
Trichy,1072.62,18.0,No,0.95,3184.05
Salem,1356.8,23.8,Yes,5.24,2347.78
Madurai,1220.39,13.3,No,0.96,2749.41
Chennai,1469.95,35.9,No,1.38,4952.83
Madurai,1031.98,39.1,Yes,3.16,2894.97
Coimbatore,1292.48,17.9,Yes,1.71,4475.58
Chennai,1899.39,12.5,No,2.46,4786.41
Trichy,1483.66,39.0,No,1.61,2963.71
Chennai,1894.02,23.7,No,4.39,4512.69
Madurai,1352.86,20.8,No,0.71,2883.33
Chennai,1522.73,36.2,No,2.18,4870.06
Trichy,866.08,35.0,No,4.83,2668.77
Madurai,1919.97,34.5,No,5.62,2321.47
Vellore,872.36,39.7,Yes,5.37,2083.36
Madurai,1018.56,14.2,Yes,3.0,2948.82
Chennai,1040.23,16.6,Yes,1.97,4824.84
Madurai,1173.11,27.7,Yes,3.88,2813.14
Chennai,1921.95,32.4,No,4.18,4577.1
Chennai,1928.46,38.7,Yes,3.02,4965.7
Coimbatore,1558.98,14.4,Yes,2.26,4479.46
Trichy,1386.39,39.3,Yes,5.99,2975.11
Vellore,1545.27,21.5,Yes,4.84,2115.38
Vellore,1754.28,24.6,Yes,4.05,2190.18
Madurai,1233.9,25.8,Yes,2.26,2916.92
Salem,1327.95,27.2,Yes,5.47,2376.17
Vellore,969.29,23.0,Yes,1.37,2406.95
Salem,1974.22,39.9,No,3.1,2651.53
Trichy,1355.22,22.2,No,3.58,2871.95
Vellore,1584.56,31.2,No,4.9,2012.17
Salem,1550.45,33.9,No,1.63,2497.54
Madurai,1762.68,27.0,No,3.81,2734.04
Chennai,1883.38,25.6,Yes,2.73,5112.75
Trichy,1756.0,30.7,Yes,3.56,3216.79
Salem,935.19,31.5,Yes,1.76,2720.48
Coimbatore,1988.92,17.9,Yes,2.51,4539.25
Madurai,1197.92,30.1,No,1.14,2710.58
Madurai,1283.13,16.9,Yes,3.87,2651.21
Chennai,1195.81,39.5,No,0.86,4746.05
Coimbatore,1432.0,15.1,No,4.11,4104.69
Coimbatore,845.19,14.9,No,4.66,3859.84
Coimbatore,1681.31,30.4,No,4.15,4051.18
Coimbatore,1210.03,26.1,No,1.91,4417.05
Salem,1075.96,31.7,Yes,5.31,2585.31
Vellore,1215.23,39.3,Yes,1.64,2488.03
Madurai,1847.51,31.5,Yes,1.14,3179.3
Salem,972.72,37.9,Yes,3.35,2809.17
Vellore,1465.64,24.8,Yes,2.9,2555.81
Trichy,1568.87,32.7,Yes,2.43,2972.89
Trichy,1133.69,36.7,Yes,4.81,3020.26
Vellore,1974.58,20.9,Yes,2.18,2641.29
Coimbatore,1885.2,38.9,Yes,1.65,4388.48
Chennai,875.14,30.8,Yes,5.14,4567.04
Salem,1483.88,13.7,No,5.12,2153.46
Salem,1318.69,26.6,No,1.49,2801.43
Trichy,1813.45,12.0,Yes,3.61,3026.96
Coimbatore,1637.52,39.6,Yes,5.24,4206.53
Salem,1176.5,16.5,No,2.6,2678.8
Chennai,1533.96,32.1,No,5.0,4572.31
Coimbatore,1368.52,33.4,Yes,0.92,4478.41
Vellore,1741.28,28.9,No,4.87,1987.89
Chennai,1301.1,20.4,No,3.45,4792.97
Salem,898.07,16.2,No,1.49,2661.94
Vellore,1586.26,39.5,No,3.97,1971.99
Madurai,1123.25,20.1,Yes,4.16,2915.59
Coimbatore,827.06,14.6,Yes,4.38,4162.09
Madurai,1150.29,34.4,Yes,2.7,2855.59
Trichy,1121.92,27.9,No,1.7,3040.48
Chennai,1316.45,15.3,Yes,1.75,5043.03
Chennai,1921.36,32.8,No,4.16,4689.61
Chennai,1194.41,32.7,Yes,3.92,4774.04
Trichy,949.16,24.1,No,2.37,2788.3
Madurai,1343.43,21.4,No,0.64,2945.34
Coimbatore,1704.7,32.5,Yes,1.15,4781.02
Chennai,838.53,22.2,Yes,0.98,5190.59
Chennai,1552.36,40.0,No,2.33,4894.05
Salem,1924.5,35.5,Yes,1.59,2721.08
Coimbatore,1769.15,30.5,Yes,3.57,4401.39
Chennai,1572.86,26.7,No,4.47,4477.82
Vellore,1462.68,17.5,Yes,1.95,2437.91
Trichy,1413.79,35.4,Yes,1.77,3139.54
Trichy,1343.32,16.7,No,0.56,3060.99
Chennai,1702.58,37.3,No,3.34,4468.02
Coimbatore,1342.93,23.8,Yes,1.48,4537.8
Salem,809.76,23.3,No,3.07,2380.9
Vellore,1212.25,27.6,No,5.65,1912.46
Chennai,929.09,16.0,No,5.88,4445.78
Chennai,1819.23,23.3,No,3.66,4816.06
Chennai,1078.99,16.3,Yes,1.68,5137.47
Chennai,1140.7,29.1,No,3.05,4878.88
Trichy,891.11,12.8,Yes,3.7,3216.43
Coimbatore,821.24,36.9,No,4.67,3999.02
Madurai,1047.02,16.0,Yes,5.62,2810.96
Vellore,1179.4,17.6,Yes,4.35,2139.21
Madurai,1185.75,34.7,Yes,1.45,3138.18
Madurai,1541.66,16.1,Yes,2.0,2825.87
Salem,1085.08,37.2,Yes,0.54,3109.01
Vellore,1877.43,17.2,No,2.18,2109.81
Trichy,1615.04,34.5,Yes,4.42,3144.42
Trichy,1788.55,36.2,No,3.25,2742.08
Salem,1703.35,28.2,No,3.17,2320.45
Coimbatore,1244.31,13.9,Yes,0.63,4622.29
Vellore,1795.73,36.2,No,4.01,2004.54
Madurai,1799.51,28.0,No,4.89,2581.71
Chennai,1984.32,14.0,Yes,3.59,4668.82
Salem,1258.19,26.8,No,1.6,2746.28
Coimbatore,1336.37,36.9,Yes,1.17,4685.53
Chennai,1875.41,25.1,No,3.63,4631.14
Chennai,1055.88,16.1,Yes,5.79,4676.78
Coimbatore,907.46,32.5,Yes,3.42,4200.86
Trichy,1022.91,29.4,Yes,4.77,2743.31
Madurai,1748.49,23.3,Yes,2.22,3011.73
Trichy,845.56,33.6,No,3.01,2969.25
Salem,1745.67,27.6,No,2.44,2463.6
Trichy,1810.62,15.2,No,4.68,2675.99
Trichy,1566.91,17.2,No,5.64,2574.49
Madurai,1594.83,16.8,Yes,1.73,3142.47
Salem,1327.21,27.6,Yes,2.17,2753.16
Vellore,1993.35,15.8,No,3.94,2175.58
Coimbatore,1487.44,31.2,No,5.32,3940.43
Vellore,1558.23,34.5,No,5.62,2020.1
Madurai,1569.51,19.4,No,1.88,2862.73
Salem,1763.2,13.8,No,2.89,2536.51
Vellore,1682.87,28.8,Yes,0.62,2786.26
Vellore,1543.26,28.0,No,3.95,1981.58
Chennai,1272.73,34.5,No,5.25,4446.4
